-77	-12	75	1	32
22	-30	-19	41	-16
53	34	16	43	-96
75	-55	-34	-69	44
-94	14	-56	-37	-13
87	8	-59	54	34
40	-86	58	-40	17
-66	18	-95	46	-1
26	96	-63	-44	-39
73	21	-74	46	88
93	64	-99	14	-6
11	34	24	71	-8
-45	4	32	58	63
-72	-22	-14	21	-62
78	-77	54	21	-84
60	75	-83	36	-35
17	-72	-80	-6	26
-60	67	49	-40	11
-76	-80	-56	-35	-24
-67	98	-62	32	28
59	50	36	-95	18
14	-81	58	66	67
-96	-72	-86	2	-96
-17	-4	-88	-87	64
-39	-98	-33	88	-40
-55	-62	11	57	-97
-5	-65	-20	-16	17
-20	12	-47	100	5
-37	14	19	92	-43
-18	-91	39	66	79
-61	58	-53	-48	54
59	29	33	-57	-4
-14	-64	-44	-64	66
75	-44	23	-62	-54
-81	36	-14	-30	-68
-31	-14	35	28	-29
69	-73	-93	43	-84
-67	85	0	-88	-63
-27	13	-63	34	-11
20	51	54	32	-3
4	2	56	17	79
-96	78	9	34	93
-45	-29	48	87	-29
55	-21	-33	-79	-6
31	-98	46	56	-49
-76	-87	29	-33	62
-24	6	-43	0	-52
-12	-76	40	-57	-48
25	-46	66	36	4
65	90	31	-91	-70
79	-69	28	-48	-33
67	-20	-38	-4	22
24	-14	22	37	-60
-76	13	22	-76	-71
-89	-70	-10	91	-64
70	16	-75	-76	-67
29	-94	-59	-10	-28
-90	-65	-58	21	-44
90	54	-38	25	69
-8	-35	-71	-34	48
-36	37	4	25	-65
-12	91	-7	-15	4
14	-53	-49	30	-16
-32	-81	50	77	39
95	2	75	90	-59
-71	14	-43	-2	-95
-7	-60	47	52	77
-100	-59	25	-55	62
64	21	78	17	-76
-30	-64	-30	-10	-25
72	56	-98	-59	44
-88	-73	24	-78	-57
-45	-86	54	15	-31
0	31	-5	-15	23
-24	-12	51	12	-74
45	96	-75	-6	64
-76	-76	67	-94	-27
-21	69	-86	50	-1
-32	77	38	-43	40
49	-61	80	-51	31
79	82	63	-92	-69
43	-5	-63	-50	-85
84	45	5	89	80
-35	-68	-21	70	30
81	29	-60	82	21
-73	1	62	-41	33
36	52	-25	-19	-47
78	31	63	30	22
88	-36	72	84	38
-81	-14	-83	21	-83
58	-54	-68	20	-38
-63	-46	-49	59	76
11	60	-92	35	-44
-25	-84	7	88	83
-25	4	-13	9	-45
82	20	27	41	93
83	96	-12	22	67
-88	-87	45	31	-99
-63	2	-90	25	-96
-78	33	85	93	-88
-89	92	-44	27	-13
-4	19	32	17	56
71	-63	45	33	-54
100	21	-69	15	-8
71	-92	-16	-84	14
-92	89	85	69	-100
38	69	33	11	99
57	0	73	98	-98
10	-75	96	2	-75
58	-76	-4	-95	-86
-52	51	-54	-89	-78
-28	-12	-43	70	-79
46	94	15	-26	57
-47	-92	-4	8	64
-85	31	-77	1	58
-87	-85	-73	20	-32
-59	39	-49	45	-82
-65	-94	-43	94	15
71	84	-73	58	55
-90	-99	-83	29	79
-57	-70	-94	-5	-65
-87	87	60	55	49
96	-67	0	64	-41
43	45	58	69	81
79	68	-29	56	49
60	65	-79	70	-8
-80	-42	86	-58	-36
79	-47	-25	-36	77
51	21	-71	-55	31
-96	74	35	1	-27
94	-31	-52	11	18
-3	75	59	73	-83
-28	91	39	-35	7
-43	64	30	96	18
-12	47	-41	71	-15
9	40	-10	-77	-8
85	17	-50	78	-73
-18	-49	-14	-28	60
-78	37	84	76	24
-34	-25	-2	-79	-27
86	98	-66	-57	-3
-50	22	68	-32	-65
-59	40	-62	-46	-98
-74	-86	-21	40	-40
-6	27	6	14	69
-50	-61	4	79	-93
53	-1	-18	63	-34
-2	5	62	-97	83
-52	-25	-39	-47	18
13	-32	-24	-6	-42
-98	51	-75	50	-37
24	73	-40	34	-98
6	-74	45	54	57
-37	26	79	71	-45
-11	-36	30	32	37
-64	-37	-25	3	19
-68	-81	99	100	-45
-33	8	26	-49	-57
22	-6	-3	-63	79
-25	-5	41	-91	16
-66	-23	29	-52	-86
0	-39	61	-36	7
-34	81	43	-15	75
-100	-91	14	27	5
-81	-63	63	-63	22
-46	21	49	-1	-1
75	-46	54	-84	63
84	-99	-72	53	-46
-30	-92	-16	23	51
-47	-15	-41	-43	-57
58	53	-62	-55	-68
24	2	36	-85	-26
90	81	-64	41	-9
55	-93	81	14	8
81	-10	18	-39	23
-71	-84	69	-32	20
1	30	84	-12	69
99	-69	-82	-68	-53
0	-82	-8	-31	28
-10	51	-71	-2	94
-80	-39	-47	-23	-61
12	68	44	57	-46
-52	-22	31	59	-36
-64	7	38	-48	89
31	52	-90	-84	-20
-65	-78	66	93	20
-76	43	32	-69	72
55	-91	15	55	-70
4	33	49	-91	-58
-34	53	-91	49	80
85	-60	-24	81	-15
57	-40	49	54	16
-79	22	-42	49	-25
37	-71	55	-36	-46
41	45	-45	96	18
-12	35	-27	-53	-10
-87	-91	3	100	98
-39	-86	-87	39	-41
-90	-54	-36	7	14
-59	50	29	14	84
